Row;GTIN;Name;Last updated;GTIN Label
1511;7350065312024;Anna Hägerstedt;Last updated: 2015-11-23;(GLN: 7350065310006, GCP: 735 006531)
1512;7350066410583;CIFAB Continenthandel i Floda AB;Last updated: 2016-06-10;(GLN: 7300009015351, GCP: 735 006641)
1513;7350068010460;Caciocavallo AB;Last updated: 2016-07-06;(GLN: 7350068010002, GCP: 735 006801)
1514;7350068260018;Smörgåshörnan i Malmö AB;Last updated: 2016-09-12;(GLN: 7350068260001, GCP: 735 006826)
1515;7350070731360;Not found;-;-
1516;7350070740324;Bröd & Salt Bageri AB;Last updated: 2016-10-17;(GLN: 7350070740003, GCP: 735 007074)
1517;7350071080542;Not found;-;-
1518;7350072540014;Johan Larsson;Last updated: 2015-11-23;(GLN: 7350072540007, GCP: 735 007254)
1519;7350072540069;Johan Larsson;Last updated: 2015-11-23;(GLN: 7350072540007, GCP: 735 007254)
1520;7350074200053;Not found;-;-
1521;7350074200060;Not found;-;-
1522;7350074200077;Not found;-;-
1523;7350074910044;Ingemansgårdens Lantbruks AB;Last updated: 2016-09-12;(GLN: 7350074910006, GCP: 735 007491)
1524;7350075100017;Christer Jonasson;Last updated: 2016-09-12;(GLN: 7350075100000, GCP: 735 007510)
1525;7350075100024;Christer Jonasson;Last updated: 2016-09-12;(GLN: 7350075100000, GCP: 735 007510)
1526;7350075100031;Christer Jonasson;Last updated: 2016-09-12;(GLN: 7350075100000, GCP: 735 007510)
1527;7350075100055;Christer Jonasson;Last updated: 2016-09-12;(GLN: 7350075100000, GCP: 735 007510)
1528;7350075100062;Christer Jonasson;Last updated: 2016-09-12;(GLN: 7350075100000, GCP: 735 007510)
1529;7350075150128;Not found;-;-
1530;7350075150142;Not found;-;-
1531;7350075151200;Not found;-;-
1532;7350075151255;Not found;-;-
1533;7350075151286;Not found;-;-
1534;7350075151293;Not found;-;-
1535;7350075151316;Not found;-;-
1536;7350075151644;Not found;-;-
1537;7350075151699;Not found;-;-
1538;7350075151781;Not found;-;-
1539;7350075151798;Not found;-;-
1540;7350075151811;Not found;-;-
1541;7350075152290;Not found;-;-
